seed,strategy,round,label_ratio,labeled_count,validation_count,unlabeled_count,test_accuracy,test_macro_f1,run_dir
0,random,0,0.01,540,60,59400,0.8585,0.8568614736046032,outputs\active\seed0\shared\round0_001pct
0,random,1,0.02,1140,60,58800,0.8778,0.8762787281328924,outputs\active\seed0\random\round1_0.020
0,random,2,0.03,1740,60,58200,0.8938,0.8929744560985367,outputs\active\seed0\random\round2_0.030
0,entropy,0,0.01,540,60,59400,0.8585,0.8568614736046032,outputs\active\seed0\shared\round0_001pct
0,entropy,1,0.02,1140,60,58800,0.8839,0.8851988776841665,outputs\active\seed0\entropy\round1_0.020
0,entropy,2,0.03,1740,60,58200,0.8976,0.8982136796721047,outputs\active\seed0\entropy\round2_0.030
0,uncertainty_diversity,0,0.01,540,60,59400,0.8585,0.8568614736046032,outputs\active\seed0\shared\round0_001pct
0,uncertainty_diversity,1,0.02,1140,60,58800,0.8954,0.8959773220920217,outputs\active\seed0\uncertainty_diversity\round1_0.020
0,uncertainty_diversity,2,0.03,1740,60,58200,0.9053,0.9063128040753006,outputs\active\seed0\uncertainty_diversity\round2_0.030
1,random,0,0.01,540,60,59400,0.8594,0.8580960811124674,outputs\active\seed1\shared\round0_001pct
1,random,1,0.02,1140,60,58800,0.8886,0.888268667726401,outputs\active\seed1\random\round1_0.020
1,random,2,0.03,1740,60,58200,0.9011,0.9013869544182332,outputs\active\seed1\random\round2_0.030
1,entropy,0,0.01,540,60,59400,0.8594,0.8580960811124674,outputs\active\seed1\shared\round0_001pct
1,entropy,1,0.02,1140,60,58800,0.8835,0.8840080015836402,outputs\active\seed1\entropy\round1_0.020
1,entropy,2,0.03,1740,60,58200,0.8947,0.8953811835953779,outputs\active\seed1\entropy\round2_0.030
1,uncertainty_diversity,0,0.01,540,60,59400,0.8594,0.8580960811124674,outputs\active\seed1\shared\round0_001pct
1,uncertainty_diversity,1,0.02,1140,60,58800,0.8954,0.8952107654973297,outputs\active\seed1\uncertainty_diversity\round1_0.020
1,uncertainty_diversity,2,0.03,1740,60,58200,0.9056,0.9056131402620868,outputs\active\seed1\uncertainty_diversity\round2_0.030
2,random,0,0.01,540,60,59400,0.8489,0.8471703015996536,outputs\active\seed2\shared\round0_001pct
2,random,1,0.02,1140,60,58800,0.877,0.8753580939225991,outputs\active\seed2\random\round1_0.020
2,random,2,0.03,1740,60,58200,0.8931,0.892893690955141,outputs\active\seed2\random\round2_0.030
2,entropy,0,0.01,540,60,59400,0.8489,0.8471703015996536,outputs\active\seed2\shared\round0_001pct
2,entropy,1,0.02,1140,60,58800,0.8779,0.8808124769991605,outputs\active\seed2\entropy\round1_0.020
2,entropy,2,0.03,1740,60,58200,0.9,0.9009071020251248,outputs\active\seed2\entropy\round2_0.030
2,uncertainty_diversity,0,0.01,540,60,59400,0.8489,0.8471703015996536,outputs\active\seed2\shared\round0_001pct
2,uncertainty_diversity,1,0.02,1140,60,58800,0.8944,0.89473339737663,outputs\active\seed2\uncertainty_diversity\round1_0.020
2,uncertainty_diversity,2,0.03,1740,60,58200,0.9037,0.9042549772204802,outputs\active\seed2\uncertainty_diversity\round2_0.030
