method,label_ratio,tau,runs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,pseudo_coverage_mean,pseudo_accuracy_mean,accuracy_ci95_half_width,performance_retention
supervised,1.0,0.95,5,0.93718,0.001160603291396335,0.9370118638892201,0.0011293819203261203,0.0,0.0,0.0014410793231236158,1.0
fixmatch,0.1,0.95,5,0.91644,0.0013390294993016001,0.9163309246386128,0.0014508262311672294,0.8877499999999999,0.9570489660227206,0.0016626247218156517,0.9778697795514203
pseudolabel,0.1,0.95,5,0.9109999999999999,0.0012609520212918173,0.9104957517152229,0.0013463017201985497,0.919675,0.9462578595019325,0.001565678728300336,0.9720651315649074
supervised,0.1,0.95,5,0.90352,0.0019408760908414782,0.9032994222390002,0.0017676205368110476,0.0,0.0,0.0024099159669723233,0.9640837405834525
fixmatch,0.05,0.95,5,0.9045400000000001,0.0018582249594707046,0.9044427820537442,0.002122244439893795,0.88435625,0.946849027590949,0.0023072910327384456,0.9651721120809237
pseudolabel,0.05,0.95,5,0.89596,0.002274423003752791,0.8949295813671861,0.002347662673385074,0.9256145833333334,0.9298453044500876,0.0028240691604463366,0.9560169871316075
supervised,0.05,0.95,5,0.88676,0.0018105247858010503,0.8862813509170421,0.0019232560682909776,0.0,0.0,0.002248063444384746,0.9462003030367698
fixmatch,0.01,0.0,3,0.8488333333333333,0.004966219219218358,0.847548337100737,0.005052004946786952,1.0,0.8432013888888888,0.012336772447279562,0.9057313785327614
fixmatch,0.01,0.8,3,0.8513000000000001,0.008029943959953897,0.8495414622958147,0.008286200040360299,0.9166527777777778,0.8823138147860483,0.019947486614163297,0.9083633880364498
fixmatch,0.01,0.95,5,0.85396,0.017674359960123037,0.8534363423254847,0.017248003203146272,0.85133125,0.9099791247437541,0.02194561645377889,0.9112016901769138
pseudolabel,0.01,0.95,5,0.83262,0.004442634353623991,0.8271585085506846,0.0030496291283630774,0.9310395833333333,0.8610523777631645,0.005516259134078163,0.8884312512004098
supervised,0.01,0.95,5,0.82462,0.011302964212984115,0.8230565932184541,0.011170208670828663,0.0,0.0,0.014034483736247915,0.8798950041614204
