path,run_family,run_name,method,label_ratio,seed,tau,active_strategy,accuracy,macro_f1,validation_accuracy,pseudo_coverage,pseudo_accuracy,runtime_seconds
outputs\active\seed0\entropy\round1_0.020,active,round1_0.020,fixmatch,0.02,0,0.95,entropy,0.8839,0.8851988776841665,0.8833333333333333,0.8464270833333334,0.9323996701822612,1234.1760454000032
outputs\active\seed0\entropy\round2_0.030,active,round2_0.030,fixmatch,0.03,0,0.95,entropy,0.8976,0.8982136796721047,0.9333333333333333,0.8691875,0.9406653723544498,1305.9117898999975
outputs\active\seed0\random\round1_0.020,active,round1_0.020,fixmatch,0.02,0,0.95,random,0.8778,0.8762787281328924,0.8833333333333333,0.8704270833333333,0.9273704240016275,1097.9497465000022
outputs\active\seed0\random\round2_0.030,active,round2_0.030,fixmatch,0.03,0,0.95,random,0.8938,0.8929744560985367,0.9,0.883375,0.9393424838451017,1191.4126562999882
outputs\active\seed0\shared\round0_001pct,active,round0_001pct,fixmatch,0.01,0,0.95,none,0.8585,0.8568614736046032,0.85,0.85325,0.9124304131262818,752.2686489000043
outputs\active\seed0\uncertainty_diversity\round1_0.020,active,round1_0.020,fixmatch,0.02,0,0.95,uncertainty_diversity,0.8954,0.8959773220920217,0.8833333333333333,0.8638958333333333,0.9310415511129332,1323.1164393999934
outputs\active\seed0\uncertainty_diversity\round2_0.030,active,round2_0.030,fixmatch,0.03,0,0.95,uncertainty_diversity,0.9053,0.9063128040753006,0.95,0.8756145833333333,0.9463472085083097,1342.2757071000087
outputs\active\seed1\entropy\round1_0.020,active,round1_0.020,fixmatch,0.02,1,0.95,entropy,0.8835,0.8840080015836402,0.9,0.8580416666666667,0.9284708396056912,2986.4248973000067
outputs\active\seed1\entropy\round2_0.030,active,round2_0.030,fixmatch,0.03,1,0.95,entropy,0.8947,0.8953811835953779,0.9166666666666666,0.8652395833333333,0.9408039680724269,418.83619469999996
outputs\active\seed1\random\round1_0.020,active,round1_0.020,fixmatch,0.02,1,0.95,random,0.8886,0.888268667726401,0.9166666666666666,0.8822395833333333,0.9329476356337446,1199.4432472999906
outputs\active\seed1\random\round2_0.030,active,round2_0.030,fixmatch,0.03,1,0.95,random,0.9011,0.9013869544182331,0.9166666666666666,0.88509375,0.9438148030458167,1699.745639300003
outputs\active\seed1\shared\round0_001pct,active,round0_001pct,fixmatch,0.01,1,0.95,none,0.8594,0.8580960811124674,0.8833333333333333,0.86421875,0.9116253841981559,1295.1567393000005
outputs\active\seed1\uncertainty_diversity\round1_0.020,active,round1_0.020,fixmatch,0.02,1,0.95,uncertainty_diversity,0.8954,0.8952107654973297,0.9166666666666666,0.8669791666666666,0.934963354559654,604.1586560000001
outputs\active\seed1\uncertainty_diversity\round2_0.030,active,round2_0.030,fixmatch,0.03,1,0.95,uncertainty_diversity,0.9056,0.9056131402620867,0.9166666666666666,0.8822083333333334,0.9439262267982809,597.6586406999998
outputs\active\seed2\entropy\round1_0.020,active,round1_0.020,fixmatch,0.02,2,0.95,entropy,0.8779,0.8808124769991605,0.8833333333333333,0.8337604166666667,0.9268499893804425,583.3125476
outputs\active\seed2\entropy\round2_0.030,active,round2_0.030,fixmatch,0.03,2,0.95,entropy,0.9,0.9009071020251247,0.8833333333333333,0.8689791666666666,0.9431924432403922,501.4758343000003
outputs\active\seed2\random\round1_0.020,active,round1_0.020,fixmatch,0.02,2,0.95,random,0.877,0.8753580939225991,0.9166666666666666,0.8739166666666667,0.9277438733670258,578.2449273000002
outputs\active\seed2\random\round2_0.030,active,round2_0.030,fixmatch,0.03,2,0.95,random,0.8931,0.892893690955141,0.9,0.87440625,0.9386011936671312,521.4559743
outputs\active\seed2\shared\round0_001pct,active,round0_001pct,fixmatch,0.01,2,0.95,none,0.8489,0.8471703015996536,0.8166666666666667,0.8411041666666667,0.9115002600748024,659.3087654999999
outputs\active\seed2\uncertainty_diversity\round1_0.020,active,round1_0.020,fixmatch,0.02,2,0.95,uncertainty_diversity,0.8944,0.89473339737663,0.9,0.8610625,0.9363794730347681,532.5307987999995
outputs\active\seed2\uncertainty_diversity\round2_0.030,active,round2_0.030,fixmatch,0.03,2,0.95,uncertainty_diversity,0.9037,0.9042549772204802,0.9,0.8761770833333333,0.9463578757148122,541.5023367999993
outputs\runs\fixmatch-001pct-seed0-tau0-4b1a7e8b,main,fixmatch-001pct-seed0-tau0-4b1a7e8b,fixmatch,0.01,0,0.0,none,0.8518,0.8512371526338935,0.85,1.0,0.8426979166666667,574.1473838999955
outputs\runs\fixmatch-001pct-seed0-tau0p8-4b1a7e8b,main,fixmatch-001pct-seed0-tau0p8-4b1a7e8b,fixmatch,0.01,0,0.8,none,0.8457,0.8436925624866044,0.85,0.9123958333333333,0.8761502454618108,595.3975059999939
outputs\runs\fixmatch-001pct-seed0-tau0p95-4b1a7e8b,main,fixmatch-001pct-seed0-tau0p95-4b1a7e8b,fixmatch,0.01,0,0.95,none,0.8585,0.8568614736046032,0.85,0.85325,0.9124304131262818,509.35427340000024
outputs\runs\fixmatch-001pct-seed1-tau0-a26e9195,main,fixmatch-001pct-seed1-tau0-a26e9195,fixmatch,0.01,1,0.0,none,0.8431,0.8417902055378086,0.9166666666666666,1.0,0.8408125,6.639999628532678e-05
outputs\runs\fixmatch-001pct-seed1-tau0p8-a26e9195,main,fixmatch-001pct-seed1-tau0p8-a26e9195,fixmatch,0.01,1,0.8,none,0.8477,0.8459081771207426,0.9166666666666666,0.9213645833333334,0.8791534295824807,618.0861010999943
outputs\runs\fixmatch-001pct-seed1-tau0p95-a26e9195,main,fixmatch-001pct-seed1-tau0p95-a26e9195,fixmatch,0.01,1,0.95,none,0.8594,0.8580960811124674,0.8833333333333333,0.86421875,0.9116253841981559,527.6533123000045
outputs\runs\fixmatch-001pct-seed2-tau0-3798df70,main,fixmatch-001pct-seed2-tau0-3798df70,fixmatch,0.01,2,0.0,none,0.8516,0.8496176531305087,0.8333333333333334,1.0,0.84609375,615.9035723000052
outputs\runs\fixmatch-001pct-seed2-tau0p8-3798df70,main,fixmatch-001pct-seed2-tau0p8-3798df70,fixmatch,0.01,2,0.8,none,0.8605,0.8590236472800973,0.85,0.9161979166666666,0.8916377693138536,610.1305716999923
outputs\runs\fixmatch-001pct-seed2-tau0p95-3798df70,main,fixmatch-001pct-seed2-tau0p95-3798df70,fixmatch,0.01,2,0.95,none,0.8489,0.8471703015996536,0.8166666666666667,0.8411041666666667,0.9115002600748024,542.1519179000024
outputs\runs\fixmatch-001pct-seed3-tau0p95-7ac8e8b6,main,fixmatch-001pct-seed3-tau0p95-7ac8e8b6,fixmatch,0.01,3,0.95,none,0.8274,0.828909006158332,0.75,0.8361666666666666,0.892278752242376,553.030076300005
outputs\runs\fixmatch-001pct-seed4-tau0p95-abdf299f,main,fixmatch-001pct-seed4-tau0p95-abdf299f,fixmatch,0.01,4,0.95,none,0.8756,0.8761448491523673,0.8833333333333333,0.8619166666666667,0.9220608140771537,543.4005497000035
outputs\runs\fixmatch-005pct-seed0-tau0p95-3aedb41b,main,fixmatch-005pct-seed0-tau0p95-3aedb41b,fixmatch,0.05,0,0.95,none,0.9035,0.903223691850467,0.89,0.8873125,0.9464910427085534,2475.492539699997
